,sum,max,am0001,am0002,am0003,am0004,am0005,am0006,am0007,am0008,am0009,am0010,am0011,am0012,am0013,am0014,am0015,am0016,am0017,am0018,am0019,am0020,am0021,am0022,am0023,am0024,am0025,am0026,am0027,am0028,am0029,am0030,am0031,am0039,am0051,am0052,am0053,am0054,am0055,am0056,am0057,am0058,am0059,am0060,am0061,am0062,am0063,am0064,am0065,am0066,am0067,am0068,am0069,am0070,am0071,am0072,am0073,am0074,am0075,am0076,am0077,am0078,am0079,am0080,am0081,am0082,am0083,am0084,am0085,am0086,am0087,am0088,am0089,am0090,am0091,am0092,am0093,am0094,am0095,am0096,am0097,am0098,am0099,am0100,am0101,am0102,am0103,am0104,am0105,am0106,am0107,am0108,am0109,am0110,am0111,am0112,am0113,am0114,am0115,am0116,am0117,am0118,am0119,am0120,am0121,am0122,am0123,am0124,am0125,am0126,am0127,am0128,am0129,am0130,am0131,am0132,am0134,am0135,am0136,am0137,am0138,am0139,am0140,am0141,am0142,am0143,am0146,am0147,am0148,am0149,am0150,am0151,am0152,am0153,am0155,am0156,am0157,am0158,am0159,am0160,am0161,am0162,am0163,am0164,am0165,am0166,am0167,am0168,am0169,am0171,am0172,am0173,am0174,am0175,am0176,am0177,am0178,am0179,am0180,am0181,am0182,am0183,am0184,am0185,am0186,am0187,am0188,am0189,am0190,am0192,am0194,am0195,am0196,am0197,am0198,am0199,am0200,am0201,am0202,am0203,am0204,am0205,am0206,am0207,am0208,am0209,am0210,am0211,am0212,am0213,am0214,am0215,am0216,am0217,am0218,am0219,am0220,am0221,am0222,am0223,am0224,am0225,am0226,am0227,am0228,am0229,am0230,am0231
DR10_SP1_cov1_701597,170.5,11,4,0,0,0,0,2,0,0,0,2,8,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,1,0,2,0,0,1,0,0,0,0,0,3,1,6,0,0,0,2,4,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,2,0,2,0,0,0,1,2,1,0,6,3,1,5,0,0,0,0,2,0,1,2,11,4,0,0,4,1,3,0,3,2,0,0,2,0,2,0,2,2,5,4,0,2,3,2,1,3,1,1,7,0,5,1,2,1,5,0,1,0,10,0,4,7,6,1,3,4,5,3,4,4,3,0,2,0,1,1,2,2,2,3,6,2,0,1,0,5,4,2,3,8,0,3,0,5,3,1,1,0,1,7,7,3,4,1,4,5,0,0,0,0,1,3,0,1,8,0,2,0,0,0,1,1,5,1,4,0,0,3,0,2,0,0,0,1,5,1,3,0
DR10_SP10_cov1_703995,198,15,0,2,2,2,0,0,0,0,2,3,3,4,0,3,0,0,0,2,0,4,0,2,2,2,1,0,2,4,2,4,2,0,0,0,2,2,1,3,1,0,0,1,0,3,2,2,0,1,0,0,2,0,2,0,0,0,0,2,1,2,3,1,7,0,1,0,0,4,2,4,3,0,0,2,0,0,5,0,0,3,0,0,0,0,2,2,0,3,5,3,1,2,2,2,0,2,1,0,0,4,0,1,9,0,15,1,4,3,0,1,5,0,1,7,3,2,0,3,10,1,1,1,2,4,11,2,6,0,4,5,1,0,2,4,6,1,1,5,6,2,4,0,0,1,0,0,7,5,0,0,0,3,0,1,7,2,2,12,5,5,0,5,2,1,1,2,0,3,1,6,3,0,2,7,0,1,0,3,0,4,0,2,5,0,0,0,0,0,0,0,8,1,2,5,0,0,0,1,0,0,0,3,1,1,0,3
DR10_SP11_cov87_704393,74.5,6,0,0,0,0,0,0,1,0,0,1,1,2,0,2,0,0,1,2,0,0,1,0,0,0,0,0,0,0,1,1,3,1,0,0,1,0,0,0,0,0,0,0,1,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,2,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,1,0,0,1,4,0,1,0,0,0,0,1,0,0,0,0,0,1,0,2,3,2,0,0,1,4,0,0,1,0,1,1,0,2,0,0,3,0,1,1,2,2,0,0,2,2,0,1,2,2,0,2,2,6,2,2,1,0,0,0,0,6,3,1,0,0,0,0,4,0,0,0,3,0,1,2,2,2,0,1,2,0,2,0,0,0,0,1,1,0,1,0,1,0,0,0,2,1,0,0,0,0,0,2,3,0,0,0,0,2,3,2,0,0,0,0,0,1,0,0,2
DR10_SP12_cov155_704544,168.5,12,1,0,0,0,0,0,0,0,0,4,3,2,4,2,0,0,0,1,0,0,3,0,1,1,0,0,3,2,0,1,4,2,0,0,2,0,0,2,0,2,0,2,1,5,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,3,1,0,0,1,0,0,0,6,0,0,1,0,0,1,1,2,1,2,2,7,2,2,0,0,3,0,1,2,0,0,0,2,1,0,1,3,1,1,2,1,2,0,1,11,3,0,1,2,2,5,3,3,1,2,2,6,1,12,4,4,4,3,1,1,5,4,0,2,0,5,1,4,2,0,0,4,0,7,4,3,3,0,1,3,5,5,1,1,11,4,0,2,1,3,4,2,2,0,1,4,2,3,0,3,3,1,0,0,0,1,1,1,8,1,0,2,0,1,0,1,0,4,4,3,3,1,4,1,0,0,0,1,2,4,2,0,1
DR10_SP13_cov1_704883,99.5,9,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,2,0,0,1,0,0,2,0,0,1,3,2,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,0,2,0,0,1,0,0,1,0,2,1,1,2,4,2,2,0,0,1,0,1,1,0,0,0,1,0,0,1,2,0,1,2,1,1,0,1,9,0,0,0,1,1,4,1,2,0,2,2,4,1,8,4,2,2,0,1,1,2,4,0,2,0,4,1,1,2,0,0,3,0,2,2,3,1,0,1,1,3,5,1,1,5,1,0,2,1,1,2,2,1,0,1,3,1,2,0,1,2,1,0,0,0,0,0,0,4,1,0,0,0,1,0,1,0,3,2,2,3,1,1,1,0,0,0,1,1,2,1,0,0
DR10_SP14_cov144_705084,154,10,0,2,0,2,0,0,0,0,0,1,0,1,4,1,0,0,1,0,0,0,2,2,0,0,0,0,3,2,0,2,2,1,2,0,3,0,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,4,3,0,3,1,0,0,0,4,4,1,1,2,0,0,0,3,3,0,3,2,2,0,0,1,0,4,0,0,2,0,0,2,4,2,3,0,10,3,2,0,0,3,2,0,2,2,0,4,1,0,6,3,2,2,6,6,6,2,6,2,7,9,4,2,1,4,3,1,4,1,6,2,2,5,2,0,0,0,3,6,2,0,0,0,0,1,1,1,0,4,3,1,2,1,2,2,3,2,0,4,6,2,0,0,3,8,0,0,0,2,0,4,0,0,5,0,0,0,0,0,5,2,3,0,0,2,4,0,0,1,0,0,3,0,0,2,2,0
DR10_SP15_cov91_705394,90,7,0,4,0,0,0,2,0,0,0,2,1,0,0,5,0,1,0,0,0,0,1,1,0,0,2,0,3,0,0,2,2,0,2,0,1,0,0,4,0,7,0,1,0,2,2,1,0,1,1,0,0,2,0,0,0,2,0,0,2,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,3,0,0,5,0,0,0,0,0,1,0,0,1,2,1,2,1,4,0,0,2,0,0,0,3,1,1,0,4,2,1,0,0,1,3,2,0,5,2,0,1,0,2,0,0,0,0,3,0,1,2,0,2,5,2,0,6,0,1,0,1,2,1,2,0,1,0,0,0,0,1,3,0,1,0,1,0,3,0,1,0,3,0,1,2,1,3,3,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,1,1,1,0,0,1,1,0,3,0,0,0,1,0,0,0,0
DR10_SP16_cov57_705576,80.5,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,1,5,0,1,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,3,2,0,2,0,0,0,0,0,1,1,1,3,8,2,1,0,0,0,1,1,0,0,0,1,0,2,0,1,3,4,0,1,2,0,0,2,0,0,1,4,0,2,3,0,1,0,4,0,2,0,0,1,1,0,2,1,0,1,1,1,4,1,0,1,4,0,0,0,0,2,2,1,0,0,3,3,1,1,0,0,1,0,1,0,0,0,3,1,0,0,1,1,1,0,0,2,2,0,0,0,0,0,3,0,2,0,0,0,0,1,0,1,1,2,0,2,0,2,2,0,3,0,1,2,0,2,1,0,2
DR10_SP17_cov1_705739,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR10_SP18_cov75_705742,147,12,1,0,0,0,0,1,0,0,0,1,6,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,2,1,0,0,0,0,2,1,3,0,0,0,0,4,0,0,0,0,0,0,2,3,0,4,0,1,0,1,0,2,1,3,0,0,0,1,0,1,0,3,5,0,5,0,0,0,0,2,0,1,1,6,2,1,2,3,1,5,0,4,0,0,1,1,1,2,2,3,0,5,1,0,1,7,2,2,4,3,2,4,1,5,1,1,2,0,1,4,0,7,1,2,5,1,1,2,4,5,0,3,2,0,2,2,0,1,1,1,2,1,2,3,0,0,0,0,6,2,2,0,12,2,2,2,6,5,0,2,2,1,7,4,3,2,3,2,4,1,0,0,1,2,3,0,2,2,0,0,0,1,0,0,2,4,1,3,2,0,2,0,1,0,0,0,0,5,0,0,1
DR10_SP19_cov87_706038,83,7,1,2,1,0,0,2,0,0,0,4,0,0,0,1,0,0,0,1,0,1,0,1,0,2,0,0,2,0,0,5,0,0,0,0,0,0,0,1,0,0,2,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,4,1,1,4,2,0,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,2,2,0,4,2,2,2,1,1,0,1,0,4,1,1,0,1,1,7,0,6,1,2,0,0,0,1,2,1,1,0,0,4,2,1,2,0,2,1,1,1,5,0,0,0,0,0,4,0,2,0,5,0,0,1,3,2,2,1,1,1,1,1,0,1,0,0,1,0,0,0,0,2,1,1,4,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,1,2,0,0,0,0,4
DR10_SP2_cov97_701940,89.5,9,0,3,0,1,0,0,0,0,0,5,1,0,0,1,0,0,0,0,0,1,1,0,0,1,3,0,1,0,0,2,0,1,0,0,1,0,0,0,0,0,0,3,0,2,1,1,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,2,0,0,3,1,0,0,0,0,3,1,2,0,4,0,0,0,1,0,0,0,1,0,0,2,0,0,1,4,0,1,0,0,1,0,0,1,0,1,0,0,0,2,1,2,1,0,3,1,1,9,0,3,2,4,0,3,1,1,0,0,3,6,2,1,1,1,0,0,1,1,5,0,1,0,3,0,2,1,1,0,2,0,0,2,2,4,4,0,2,1,0,2,0,1,2,2,1,0,0,0,0,0,5,2,0,1,0,0,0,1,0,1,2,0,4,0,0,0,1,0,0,0,0,1,0,1,0,0,2
DR10_SP20_cov106_706206,87,7,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,2,0,0,4,3,6,3,1,0,0,1,1,0,0,0,1,2,0,2,0,2,2,1,0,1,3,1,2,3,0,2,2,1,0,7,0,0,1,2,2,0,2,7,0,1,2,3,0,2,1,3,1,0,4,1,3,1,3,0,0,0,0,2,4,0,4,0,0,2,4,0,0,0,2,0,1,1,0,0,1,0,0,0,1,1,0,1,0,1,2,0,0,0,0,0,3,0,2,1,0,0,0,0,0,1,2,4,1,1,0,4,1,0,2,0,0,2,1,0,1,2,0
DR10_SP21_cov139_706382,153.5,9,0,0,1,0,0,0,0,0,0,4,2,0,0,1,0,2,0,0,0,0,6,0,0,0,2,0,3,0,3,1,4,0,0,0,2,0,0,1,3,0,0,0,0,0,4,0,0,1,0,2,1,0,0,0,0,0,2,0,2,0,5,3,2,0,0,0,0,2,2,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,7,1,1,1,3,5,2,1,3,1,6,0,2,0,0,4,3,1,3,2,4,2,3,0,2,4,3,1,3,8,2,0,6,3,4,3,0,2,0,5,3,3,6,0,2,2,3,0,2,2,3,0,1,6,2,1,3,0,0,2,0,1,1,5,4,0,0,0,0,5,1,4,2,9,2,1,0,3,2,0,1,6,0,1,1,2,0,3,2,1,0,0,0,1,1,1,3,1,4,1,1,0,2,0,0,0,6,3,2,4,0,2,0,3,0,0,1,0,2,1,0,1
DR10_SP22_cov1_706691,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR10_SP23_cov165_706694,138.5,13,0,1,2,2,0,0,0,0,0,4,1,0,0,1,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,1,0,2,0,0,2,0,0,2,2,0,0,4,0,3,2,0,0,0,0,1,0,0,0,1,0,1,0,0,1,0,3,0,0,0,0,0,0,1,1,0,0,0,2,0,2,0,1,3,0,4,2,0,0,0,0,4,1,1,5,3,0,0,0,5,0,0,2,2,0,0,3,1,0,0,5,0,2,1,0,1,4,0,7,0,3,2,1,0,4,3,3,0,1,6,5,3,13,0,6,0,0,0,3,1,2,0,0,5,5,3,0,3,1,0,1,0,5,5,2,0,0,4,0,3,5,4,0,5,0,1,0,1,5,4,0,3,0,0,2,1,2,2,5,1,0,2,0,0,1,4,3,1,2,0,0,0,1,0,0,4,0,2,0,6,0,3,0,1,0,0,3,0,1,0,0,3
DR10_SP24_cov48_706973,74.5,7,0,1,1,0,0,0,0,0,0,2,1,0,0,4,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,2,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,5,1,0,5,2,1,1,1,0,0,0,0,1,0,1,4,0,0,0,1,0,2,1,0,5,3,0,4,1,1,1,1,0,2,2,2,0,2,2,1,1,7,1,2,0,0,0,2,2,1,1,0,0,2,1,1,3,0,1,1,0,2,3,0,0,0,1,0,0,1,0,0,3,0,1,1,1,3,1,1,2,1,0,1,0,2,0,1,1,0,0,0,0,3,1,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0
DR10_SP25_cov143_707124,114,7,0,2,0,0,0,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,2,1,0,3,2,4,0,0,0,1,3,0,2,0,0,0,0,2,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0,2,1,0,2,0,1,0,0,0,0,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,4,0,1,1,3,1,3,0,0,3,1,0,2,0,0,0,2,1,1,0,2,1,2,0,1,3,0,1,4,2,0,0,1,0,5,2,1,1,1,0,7,3,5,4,1,0,0,1,2,3,4,0,4,1,4,3,1,2,1,2,0,3,2,1,1,1,0,1,0,1,3,2,2,5,2,4,2,0,1,5,2,2,0,0,2,0,2,0,2,2,1,0,0,0,0,2,1,4,2,0,1,0,1,1,0,3,2,1,1,0,2,0,1,1,1,0,1,1,3,1,1,3
DR10_SP26_cov83_707354,92.5,7,1,2,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,1,0,0,2,0,0,0,0,0,3,2,0,0,0,3,0,0,1,0,0,0,1,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,2,3,1,2,2,3,1,0,1,0,0,0,0,0,0,0,1,0,1,1,1,0,0,2,0,2,1,1,3,0,0,0,1,0,6,1,1,0,3,1,3,0,7,6,1,0,2,1,2,1,4,1,1,2,3,2,0,1,0,1,1,1,1,2,3,0,0,0,2,7,3,1,0,5,0,1,0,3,0,2,2,1,0,1,2,1,3,0,2,1,1,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,3,1,2,1,0,0,0,0,0,3,0,0,1,2,2
DR10_SP27_cov80_707541,120,7,0,2,0,0,0,2,0,0,0,4,1,0,2,5,0,1,0,0,0,3,2,2,0,1,3,0,7,0,0,5,3,0,2,0,1,0,2,4,0,2,0,4,0,2,2,1,0,0,0,0,0,0,0,1,0,2,0,0,1,0,1,1,0,0,2,0,0,5,1,0,1,1,1,1,0,2,2,0,0,4,0,0,0,0,2,2,0,2,3,4,1,1,1,2,2,0,2,0,0,1,4,1,3,1,2,1,1,0,0,1,5,1,0,7,2,0,0,0,3,0,1,0,2,0,3,0,4,0,2,6,2,0,5,1,1,0,0,2,5,0,1,0,1,0,0,1,2,4,0,2,0,1,0,3,3,0,0,2,0,1,2,2,4,3,2,1,0,0,1,0,0,2,1,0,0,0,0,0,1,4,1,0,0,0,0,0,0,0,1,1,2,2,0,2,0,0,0,2,2,0,0,0,1,0,0,4
DR10_SP28_cov128_707783,110.5,7,0,0,3,0,0,0,0,0,0,3,0,0,1,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,2,1,0,0,4,0,1,1,1,0,0,0,0,0,3,2,0,1,1,0,1,0,0,0,0,0,0,0,2,0,7,3,4,0,0,0,0,1,1,0,0,0,1,2,1,0,0,0,1,5,0,0,1,1,2,3,1,2,1,0,0,0,1,0,4,0,1,0,0,4,1,0,1,1,4,1,1,1,1,1,1,1,4,4,0,0,2,0,1,3,0,1,1,3,5,2,2,1,3,2,1,0,0,1,2,2,1,5,1,3,1,1,1,1,0,1,0,3,2,0,1,1,0,7,1,2,1,4,0,3,0,0,0,0,1,3,1,0,2,2,0,1,1,2,0,0,1,0,0,1,0,3,7,1,1,1,1,0,1,1,4,4,0,1,0,0,0,3,0,0,1,0,1,1,1,0
DR10_SP29_cov119_708006,136.5,11,0,1,0,0,0,0,0,0,2,2,1,2,0,2,0,0,0,0,0,0,1,0,0,0,2,0,0,3,1,1,2,0,2,0,3,0,1,2,0,0,0,1,0,3,4,0,0,1,0,0,1,0,0,0,0,0,0,1,0,2,0,0,2,0,0,0,1,7,1,2,0,0,1,0,1,0,2,0,1,4,0,0,0,0,0,0,0,2,3,2,1,0,0,1,1,0,2,0,0,2,0,0,4,0,10,2,1,2,0,0,5,0,3,3,3,0,0,0,8,1,1,2,1,4,5,2,7,0,1,2,2,0,1,4,3,0,2,2,3,1,5,2,0,1,0,0,3,2,3,0,0,1,2,3,2,1,3,11,4,4,0,3,0,1,0,0,0,1,1,2,1,1,1,6,0,0,0,3,0,2,2,5,3,0,0,0,2,0,0,1,5,2,3,3,0,2,0,1,0,0,2,0,2,1,0,8
DR10_SP3_cov75_702121,93,7,1,3,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,4,0,0,0,1,0,0,1,0,2,0,1,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,2,1,2,0,1,0,0,0,3,1,0,3,0,0,0,4,2,0,1,3,3,3,2,7,0,0,1,0,0,0,0,1,2,0,2,0,7,2,0,0,0,1,2,0,0,1,0,2,2,1,6,1,0,2,0,4,3,4,6,0,0,1,1,0,0,0,3,0,0,1,0,1,1,6,0,0,0,0,3,5,0,0,0,0,1,2,1,0,0,6,1,4,0,0,1,0,2,6,0,0,0,0,0,0,3,2,0,0,0,1,0,2,0,6,1,0,0,0,0,0,0,2,2,0,0,0,3,0,0,0,0,0,1,1,0,0,1,0
DR10_SP30_cov70_708281,71.5,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,6,0,2,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,5,1,0,1,0,0,0,0,0,2,0,0,0,2,2,1,0,0,0,1,1,0,0,0,0,0,2,0,3,2,2,0,0,4,0,1,2,1,0,2,2,0,0,0,0,0,0,5,0,2,2,0,3,2,1,2,1,0,0,1,2,4,1,2,1,5,0,0,0,0,1,0,0,0,0,3,0,2,3,0,0,3,0,0,1,0,1,3,0,1,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,3,1,0,2,2,0,2,0,1,1,1,0,0,0,0
DR10_SP31_cov74_708426,82.5,12,0,0,0,1,0,0,3,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,2,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,1,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,2,1,0,1,3,2,0,2,0,0,0,1,1,0,0,0,0,0,12,0,4,2,2,1,1,0,3,0,1,0,0,1,1,1,4,0,0,0,0,0,6,1,4,0,2,5,2,0,2,0,1,1,0,1,6,1,7,0,0,0,0,0,4,3,3,0,0,0,0,1,1,1,0,6,0,1,1,2,2,0,1,2,0,3,0,1,0,1,2,2,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2,2,2,0,0,1,2,0,0,0,0,0,0,1,1,1,0,0
DR10_SP32_cov1_708593,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR10_SP33_cov1_708596,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR10_SP34_cov182_708599,140.5,10,2,2,0,1,0,0,0,0,1,2,2,4,0,3,0,0,0,2,0,3,2,2,2,2,2,0,2,4,2,3,2,0,0,0,1,1,1,2,1,0,0,0,0,2,4,1,0,1,0,0,2,0,2,0,0,0,0,2,1,2,2,0,6,0,1,0,0,2,2,2,2,0,0,1,0,0,4,0,0,3,0,0,0,0,1,1,0,3,4,3,2,1,2,1,0,1,1,0,0,3,0,3,3,0,9,1,1,1,0,0,4,0,1,10,3,1,0,1,4,0,1,1,1,3,4,2,3,0,2,4,1,0,1,2,3,0,1,2,3,1,1,0,0,1,0,0,3,2,0,0,0,1,0,1,4,1,1,8,4,5,0,4,2,2,1,1,0,1,1,3,1,1,1,4,0,1,0,3,1,4,0,2,4,0,0,0,0,0,0,0,6,1,2,4,0,0,0,1,0,0,0,1,1,0,0,3
DR10_SP35_cov1_708882,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DR10_SP36_cov1_708885,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
